Treatment,DTG
MP,3
MP,3
MP,3
MP,3
MP,11
MP,8
MP,8
MP,8
MP,6
MP,6
MP,6
MP,6
MP,6
MP,5
MP,5
MP,5
MP,5
MP,5
MP,5
MP,5
MP,5
MP,5
MP,5
MP,5
MP,5
MP,5
MP,5
MP,5
MP,5
MP,5
MP,5
MP,5
MP,5
MP,5
MP,5
MP,5
MP,5
MP,5
MP,5
MP,5
MP,5
MP,5
MP,5
MP,5
MP,5
MP,5
MP,5
MP,5
MP,5
MP,5
MP,5
MP,5
MP,5
MP,5
MP,4
MP,4
MP,4
MP,4
MP,4
MP,4
MP,4
MP,4
MP,4
MP,4
MP,4
MP,4
MP,4
MP,4
MP,4
MP,4
MP,4
MP,4
MP,4
MP,4
MP,4
MP,4
MP,4
MP,4
MP,4
MP,4
MP,4
MP,4
MP,4
MP,4
MP,4
MP,4
MP,4
MP,4
MP,4
MP,4
MP,4
MP,4
MP,4
MP,4
MP,4
MP,4
MP,4
C,6
C,6
C,6
C,6
C,6
C,6
C,6
C,6
C,6
C,7
C,7
C,3
C,3
C,3
C,3
C,3
C,3
C,3
C,3
C,3
C,3
C,3
C,3
C,3
C,3
C,3
C,4
C,4
C,4
C,4
C,4
C,4
C,4
C,4
C,4
C,4
C,4
C,4
C,4
C,4
C,4
C,4
C,4
C,4
C,4
C,4
C,4
C,4
C,4
C,4
C,4
C,4
C,4
C,4
C,4
C,4
C,4
C,4
C,4
C,4
C,5
C,5
C,5
C,5
C,5
C,5
C,5
C,5
C,5
C,5
C,5
C,5
C,5
C,5
C,5
C,5
C,5
C,5
C,5
C,5
C,5
C,5
C,5
C,5
C,5
C,5
C,5
C,5
C,5
C,5
C,5
C,5
C,5
C,5
